region,code5
서울특별시종로구,11110
서울특별시중구,11140
서울특별시용산구,11170
서울특별시성동구,11200
서울특별시광진구,11215
서울특별시동대문구,11230
서울특별시중랑구,11260
서울특별시성북구,11290
서울특별시강북구,11305
서울특별시도봉구,11320
서울특별시노원구,11350
서울특별시은평구,11380
서울특별시서대문구,11410
서울특별시마포구,11440
서울특별시양천구,11470
서울특별시강서구,11500
서울특별시구로구,11530
서울특별시금천구,11545
서울특별시영등포구,11560
서울특별시동작구,11590
서울특별시관악구,11620
서울특별시서초구,11650
서울특별시강남구,11680
서울특별시송파구,11710
서울특별시강동구,11740
부산광역시중구,26110
부산광역시서구,26140
부산광역시동구,26170
부산광역시영도구,26200
부산광역시부산진구,26230
부산광역시동래구,26260
부산광역시남구,26290
부산광역시북구,26320
부산광역시해운대구,26350
부산광역시사하구,26380
부산광역시금정구,26410
부산광역시강서구,26440
부산광역시연제구,26470
부산광역시수영구,26500
부산광역시사상구,26530
부산광역시기장군,26710
대구광역시중구,27110
대구광역시동구,27140
대구광역시서구,27170
대구광역시남구,27200
대구광역시북구,27230
대구광역시수성구,27260
대구광역시달서구,27290
대구광역시달성군,27710
인천광역시중구,28110
인천광역시동구,28140
인천광역시미추홀구,28177
인천광역시연수구,28185
인천광역시남동구,28200
인천광역시부평구,28237
인천광역시계양구,28245
인천광역시서구,28260
인천광역시강화군,28710
인천광역시옹진군,28720
광주광역시동구,29110
광주광역시서구,29140
광주광역시남구,29155
광주광역시북구,29170
광주광역시광산구,29200
대전광역시동구,30110
대전광역시중구,30140
대전광역시서구,30170
대전광역시유성구,30200
대전광역시대덕구,30230
울산광역시중구,31110
울산광역시남구,31140
울산광역시동구,31170
울산광역시북구,31200
울산광역시울주군,31710
세종특별자치시,36110
경기도수원시장안구,41111
경기도수원시권선구,41113
경기도수원시팔달구,41115
경기도수원시영통구,41117
경기도성남시수정구,41131
경기도성남시중원구,41133
경기도성남시분당구,41135
경기도의정부시,41150
경기도안양시만안구,41171
경기도안양시동안구,41173
경기도부천시,41190
경기도광명시,41210
경기도평택시,41220
경기도동두천시,41250
경기도안산시상록구,41271
경기도안산시단원구,41273
경기도고양시덕양구,41281
경기도고양시일산동구,41285
경기도고양시일산서구,41287
경기도과천시,41290
경기도구리시,41310
경기도남양주시,41360
경기도오산시,41370
경기도시흥시,41390
경기도군포시,41410
경기도의왕시,41430
경기도하남시,41450
경기도용인시처인구,41461
경기도용인시기흥구,41463
경기도용인시수지구,41465
경기도파주시,41480
경기도이천시,41500
경기도안성시,41550
경기도김포시,41570
경기도화성시,41590
경기도광주시,41610
경기도양주시,41630
경기도포천시,41650
경기도여주시,41670
경기도연천군,41800
경기도가평군,41820
경기도양평군,41830
강원도춘천시,42110
강원도원주시,42130
강원도강릉시,42150
강원도동해시,42170
강원도태백시,42190
강원도속초시,42210
강원도삼척시,42230
강원도홍천군,42720
강원도횡성군,42730
강원도영월군,42750
강원도평창군,42760
강원도정선군,42770
강원도철원군,42780
강원도화천군,42790
강원도양구군,42800
강원도인제군,42810
강원도고성군,42820
강원도양양군,42830
충청북도청주시상당구,43111
충청북도청주시서원구,43112
충청북도청주시흥덕구,43113
충청북도청주시청원구,43114
충청북도충주시,43130
충청북도제천시,43150
충청북도보은군,43720
충청북도옥천군,43730
충청북도영동군,43740
충청북도증평군,43745
충청북도진천군,43750
충청북도괴산군,43760
충청북도음성군,43770
충청북도단양군,43800
충청남도천안시동남구,44131
충청남도천안시서북구,44133
충청남도공주시,44150
충청남도보령시,44180
충청남도아산시,44200
충청남도서산시,44210
충청남도논산시,44230
충청남도계룡시,44250
충청남도당진시,44270
충청남도금산군,44710
충청남도부여군,44760
충청남도서천군,44770
충청남도청양군,44790
충청남도홍성군,44800
충청남도예산군,44810
충청남도태안군,44825
전라북도전주시완산구,45111
전라북도전주시덕진구,45113
전라북도군산시,45130
전라북도익산시,45140
전라북도정읍시,45180
전라북도남원시,45190
전라북도김제시,45210
전라북도완주군,45710
전라북도진안군,45720
전라북도무주군,45730
전라북도장수군,45740
전라북도임실군,45750
전라북도순창군,45770
전라북도고창군,45790
전라북도부안군,45800
전라남도목포시,46110
전라남도여수시,46130
전라남도순천시,46150
전라남도나주시,46170
전라남도광양시,46230
전라남도담양군,46710
전라남도곡성군,46720
전라남도구례군,46730
전라남도고흥군,46770
전라남도보성군,46780
전라남도화순군,46790
전라남도장흥군,46800
전라남도강진군,46810
전라남도해남군,46820
전라남도영암군,46830
전라남도무안군,46840
전라남도함평군,46860
전라남도영광군,46870
전라남도장성군,46880
전라남도완도군,46890
전라남도진도군,46900
전라남도신안군,46910
경상북도포항시남구,47111
경상북도포항시북구,47113
경상북도경주시,47130
경상북도김천시,47150
경상북도안동시,47170
경상북도구미시,47190
경상북도영주시,47210
경상북도영천시,47230
경상북도상주시,47250
경상북도문경시,47280
경상북도경산시,47290
경상북도군위군,47720
경상북도의성군,47730
경상북도청송군,47750
경상북도영양군,47760
경상북도영덕군,47770
경상북도청도군,47820
경상북도고령군,47830
경상북도성주군,47840
경상북도칠곡군,47850
경상북도예천군,47900
경상북도봉화군,47920
경상북도울진군,47930
경상북도울릉군,47940
경상남도창원시의창구,48121
경상남도창원시성산구,48123
경상남도창원시마산합포구,48125
경상남도창원시마산회원구,48127
경상남도창원시진해구,48129
경상남도진주시,48170
경상남도통영시,48220
경상남도사천시,48240
경상남도김해시,48250
경상남도밀양시,48270
경상남도거제시,48310
경상남도양산시,48330
경상남도의령군,48720
경상남도함안군,48730
경상남도창녕군,48740
경상남도고성군,48820
경상남도남해군,48840
경상남도하동군,48850
경상남도산청군,48860
경상남도함양군,48870
경상남도거창군,48880
경상남도합천군,48890
제주특별자치도제주시,50110
제주특별자치도서귀포시,50130